date,median,lower,upper,observed
2021-06-28,131.00801701231586,48.45276722690838,215.09905522751882,72
2021-06-29,133.97922969360587,50.03827890711608,215.36187436642817,72
2021-06-30,136.27804431980266,50.16499998412844,221.2923637194423,72
2021-07-01,142.29278771434156,57.86387379012063,229.0318698370013,75
2021-07-02,149.65519748135958,66.14106017390733,232.66948392292662,75
2021-07-03,159.87649598626018,74.63606066979955,243.87602737503272,75
2021-07-04,171.4950235247324,85.33207905979302,256.07837209726995,72
2021-07-05,186.15521288029458,99.59999312455993,269.93464505342445,75
2021-07-06,205.6117781620058,123.3004199798835,290.5018779839628,78
2021-07-07,233.56285619162412,151.16645676340184,318.0237484898926,72
2021-07-08,261.4103282565063,177.09281490518174,343.7713071008452,79
2021-07-09,285.87248523010106,202.62958894761013,368.33103349015323,75
2021-07-10,311.6303265417639,228.98101923927462,395.81897284945643,75
2021-07-11,329.8059430761872,247.7094481115712,409.5441708705625,102
2021-07-12,342.5173357936792,257.6810079022537,428.0628749429869,94
